deck,h_mm,b_m,I_s,EI_s,m,delta,f1,pass_4hz,pass_3hz,note
ComFlor 60 0.9,141.0,4.0,20598640.25083635,4.3257144526756335,414.98470948012226,3.1370540400803373,10.162756150610917,True,True,
ComFlor 60 0.9,138.0,5.0,19023063.416556496,3.994843317476864,407.6452599388379,8.146488541897233,6.306483729403687,True,True,
ComFlor 60 0.9,140.0,5.0,20063263.086502645,4.213285248165556,412.5382262996942,7.8168384936290645,6.438088400556799,True,True,
ComFlor 60 0.9,141.0,5.0,20598640.25083635,4.3257144526756335,414.98470948012226,7.658823340039886,6.504163936390987,True,True,
ComFlor 60 0.9,143.0,5.0,21700571.6591367,4.5571200484187075,419.87767584097855,7.3556341409376325,6.636856768786391,True,True,
ComFlor 60 0.9,179.0,5.0,49806273.67907517,10.459317472605784,507.9510703363915,3.8770940760436767,9.141539402968222,True,True,
ComFlor 60 0.9,182.0,5.0,52965365.25385631,11.122726703309825,515.2905198776758,3.6985261267148215,9.359618768666445,True,True,
ComFlor 60 0.9,164.0,6.0,36028822.925119944,7.566052814275188,471.2538226299694,10.310941109584828,5.605616100822425,True,True,
ComFlor 60 0.9,166.0,6.0,37681463.489017725,7.9131073326937225,476.14678899082566,9.961083767224425,5.7032079745121855,True,True,
ComFlor 60 0.9,173.0,6.0,43903426.5962175,9.219719585205674,493.2721712538226,8.856898981074417,6.04827681368431,True,True,
ComFlor 60 1.0,113.0,3.0,9080673.839083148,1.906941506207461,347.5025484199796,1.8854430908321966,13.108886126768349,True,True,
ComFlor 60 1.0,117.0,3.0,10327983.239571411,2.1688764803099962,357.28848114169216,1.704421492445543,13.78745170310312,True,True,
ComFlor 60 1.0,117.0,4.0,10327983.239571411,2.1688764803099962,357.28848114169216,5.386813605753815,7.755441582995505,True,True,
ComFlor 60 1.0,121.0,4.0,11695901.609887598,2.4561393380763956,367.0744138634047,4.887073443778695,8.14231823245463,True,True,
ComFlor 60 1.0,123.0,4.0,12427299.02245518,2.6097327947155877,371.9673802242609,4.660758127407794,8.337660790732588,True,True,
ComFlor 60 1.0,130.0,4.0,15251699.487727514,3.2028568924227776,389.09276248725786,3.9724951069258863,9.031103502914219,True,True,
ComFlor 60 1.0,136.0,4.0,18022780.646817386,3.7847839358316513,403.7716615698267,3.488530272054247,9.63720854705126,True,True,
ComFlor 60 1.0,138.0,4.0,19023063.416556496,3.994843317476864,408.664627930683,3.3451457970505825,9.84158345459088,True,True,
ComFlor 60 1.0,137.0,5.0,18517993.806007657,3.888778699261608,406.2181447502548,8.339382497386922,6.233121007359236,True,True,
ComFlor 60 1.0,139.0,5.0,19538112.09626717,4.103003540216106,411.11111111111103,7.999173702663843,6.3642897138936565,True,True,
ComFlor 60 1.0,140.0,5.0,20063263.086502645,4.213285248165556,413.55759429153926,7.8361536369293585,6.430148961846979,True,True,
ComFlor 60 1.0,176.0,5.0,46786946.99314362,9.825258868560162,501.63098878695195,4.075943550859543,8.915761137459988,True,True,
ComFlor 60 1.0,179.0,5.0,49806273.67907517,10.459317472605784,508.97043832823647,3.8848747183797063,9.132380459276996,True,True,
ComFlor 60 1.0,164.0,6.0,36028822.925119944,7.566052814275188,472.2731906218145,10.333244681095936,5.599563171618571,True,True,
ComFlor 60 1.0,166.0,6.0,37681463.489017725,7.9131073326937225,477.1661569826707,9.982409144589496,5.697112848292374,True,True,
ComFlor 60 1.0,179.0,6.0,49806273.67907517,10.459317472605784,508.97043832823647,8.05567621603216,6.341930874497914,True,True,
ComFlor 60 1.2,113.0,3.0,9080673.839083148,1.906941506207461,350.56065239551475,1.9020354324939643,13.051583421454717,True,True,
ComFlor 60 1.2,117.0,4.0,10327983.239571411,2.1688764803099962,360.3465851172273,5.432920426915759,7.722462943520031,True,True,
ComFlor 60 1.2,121.0,4.0,11695901.609887598,2.4561393380763956,370.13251783893986,4.9277877462817115,8.108611789009926,True,True,
ComFlor 60 1.2,123.0,4.0,12427299.02245518,2.6097327947155877,375.02548419979615,4.699076226564341,8.303596938134474,True,True,
ComFlor 60 1.2,130.0,4.0,15251699.487727514,3.2028568924227776,392.15086646279303,4.003717232471544,8.995821025909963,True,True,
ComFlor 60 1.2,131.0,4.0,15690313.82002244,3.294965902204712,394.5973496432212,3.9160749204413667,9.095927898707796,True,True,
ComFlor 60 1.2,132.0,4.0,16138062.068804607,3.388993034448968,397.0438328236493,3.831029807780161,9.196334076624956,True,True,
ComFlor 60 1.2,132.0,5.0,16138062.068804607,3.388993034448968,397.0438328236493,9.353100116650785,5.8856538090399715,True,True,
ComFlor 60 1.2,134.0,5.0,17061436.337283086,3.5829016308294483,401.93679918450556,8.955929984157798,6.014744175434146,True,True,
ComFlor 60 1.2,139.0,5.0,19538112.09626717,4.103003540216106,414.1692150866463,8.058676606477365,6.340750157042626,True,True,
ComFlor 60 1.2,140.0,5.0,20063263.086502645,4.213285248165556,416.6156982670743,7.894099066830241,6.406505730805706,True,True,
ComFlor 60 1.2,170.0,5.0,41151800.84322153,8.64187817707652,490.0101936799184,4.526731960837145,8.460189975068884,True,True,
ComFlor 60 1.2,173.0,5.0,43903426.5962175,9.219719585205674,497.3496432212028,4.306573890766287,8.673743070832337,True,True,
ComFlor 60 1.2,164.0,6.0,36028822.925119944,7.566052814275188,475.3312945973496,10.400155395629254,5.581521357438246,True,True,
ComFlor 60 1.2,166.0,6.0,37681463.489017725,7.9131073326937225,480.2242609582059,10.046385276684706,5.678944056891121,True,True,
ComFlor 60 1.2,167.0,6.0,38528205.286685705,8.090923110203999,482.670744138634,9.875650023076957,5.727823931813705,True,True,
ComFlor 80 0.9,130.0,3.0,12599230.011600988,2.6458383024362075,357.28848114169216,1.3971676515893696,15.228188503869637,True,True,
ComFlor 80 0.9,133.0,3.0,13708965.154244894,2.8788826823914273,364.6279306829765,1.3104449203765975,15.724003044538607,True,True,
ComFlor 80 0.9,142.0,4.0,17467086.669591054,3.6680882006141213,386.6462793068297,3.4468455069364334,9.695307682709327,True,True,
ComFlor 80 0.9,144.0,4.0,18394789.47205844,3.8629057891322724,391.539245667686,3.31443064683422,9.887079747149423,True,True,
ComFlor 80 0.9,145.0,4.0,18871881.862873185,3.9630951912033687,393.9857288481141,3.2508261123602704,9.98333478863311,True,True,
ComFlor 80 0.9,146.0,4.0,19357941.244842894,4.065167661417007,396.43221202854227,3.1888803643623067,10.07983427747633,True,True,
ComFlor 80 0.9,148.0,4.0,20357383.021706257,4.275050434558314,401.32517838939856,3.069749359504152,10.273562004527731,True,True,
ComFlor 80 0.9,150.0,5.0,21393963.94014993,4.492732427431485,406.2181447502548,7.218327275139712,6.69968248205889,True,True,
ComFlor 80 0.9,152.0,5.0,22468541.208402622,4.718393653764551,411.11111111111103,6.955892286487694,6.824896677983785,True,True,
ComFlor 80 0.9,160.0,5.0,27164238.618525438,5.704490109890342,430.68297655453614,6.027381476430377,7.331758739963834,True,True,
ComFlor 80 0.9,162.0,5.0,28441935.99486054,5.9728065589207135,435.57594291539243,5.822013935625759,7.459949452798572,True,True,
ComFlor 80 0.9,190.0,5.0,51302901.098625876,10.773609230711433,504.0774719673802,3.7352861199121037,9.313449586609131,True,True,
ComFlor 80 0.9,193.0,5.0,54364530.81644138,11.41655147145269,511.41692150866453,3.5762507288585055,9.518281076434677,True,True,
ComFlor 80 0.9,183.0,6.0,44650120.26068741,9.376525254744356,486.9520897043832,8.597201288314325,6.138948040331216,True,True,
ComFlor 80 0.9,186.0,6.0,47418902.11241822,9.957969443607826,494.29153924566765,8.217224953680285,6.279280980029816,True,True,
ComFlor 80 0.9,187.0,6.0,48369048.60730627,10.157500207534317,496.7380224260957,8.095680366218902,6.326242400253374,True,True,
ComFlor 80 0.9,188.0,6.0,49333013.28875634,10.35993279063883,499.18450560652394,7.976584083119744,6.373295150245214,True,True,
ComFlor 80 0.9,233.0,6.0,109136622.34924747,22.918690693341972,609.27624872579,4.400856765753248,8.580327965332456,True,True,
ComFlor 80 1.2,130.0,3.0,12599230.011600988,2.6458383024362075,361.36595310907234,1.413112503533328,15.14203115895392,True,True,
ComFlor 80 1.2,131.0,3.0,12961563.59045332,2.721928353995197,363.8124362895005,1.3829091724530533,15.306492270179685,True,True,
ComFlor 80 1.2,133.0,3.0,13708965.154244894,2.8788826823914273,368.70540265035675,1.3250990430534397,15.636816328491303,True,True,
ComFlor 80 1.2,135.0,4.0,14487336.390259936,3.042340641954586,373.59836901121304,4.015548587227869,8.982558670685192,True,True,
ComFlor 80 1.2,137.0,4.0,15297473.14409328,3.2124693602595893,378.4913353720693,3.8526956302756914,9.170439603134666,True,True,
ComFlor 80 1.2,143.0,4.0,17926559.196678143,3.7645774313024103,393.17023445463803,3.415168608238379,9.740167606594953,True,True,
ComFlor 80 1.2,144.0,4.0,18394789.47205844,3.8629057891322724,395.61671763506627,3.348946977444315,9.835996585690609,True,True,
ComFlor 80 1.2,145.0,4.0,18871881.862873185,3.9630951912033687,398.0632008154944,3.2844698496162636,9.932072140293366,True,True,
ComFlor 80 1.2,146.0,4.0,19357941.244842894,4.065167661417007,400.5096839959225,3.2216793395678844,10.028393093111436,True,True,
ComFlor 80 1.2,150.0,5.0,21393963.94014993,4.492732427431485,410.2956167176351,7.290782254062069,6.666309011836844,True,True,
ComFlor 80 1.2,152.0,5.0,22468541.208402622,4.718393653764551,415.1885830784914,7.0248820438543,6.791301117444594,True,True,
ComFlor 80 1.2,161.0,5.0,27797730.6385189,5.837523434088968,437.20693170234455,5.979243038296075,7.361213295108183,True,True,
ComFlor 80 1.2,162.0,5.0,28441935.99486054,5.9728065589207135,439.65341488277267,5.876514417120032,7.4252760164206615,True,True,
ComFlor 80 1.2,179.0,5.0,41144313.03923601,8.640305738239562,481.24362895005095,4.446555193542787,8.536122941507537,True,True,
ComFlor 80 1.2,182.0,5.0,43753997.383620426,9.18833945056029,488.58307849133524,4.245112412753554,8.736307412845797,True,True,
ComFlor 80 1.2,173.0,6.0,36268048.05774489,7.616290092126428,466.56472986748213,10.141010132984034,5.652387102652463,True,True,
ComFlor 80 1.2,176.0,6.0,38650086.646509945,8.116518195767087,473.90417940876654,9.66570555351112,5.789695516961133,True,True,
ComFlor 80 1.2,187.0,6.0,48369048.60730627,10.157500207534317,500.815494393476,8.162133724447665,6.300436694479815,True,True,
ComFlor 80 1.2,189.0,6.0,50310922.011218615,10.565293622355908,505.7084607543323,7.923762272243631,6.394502866662772,True,True,
ComFlor 80 1.2,222.0,6.0,91255617.12858176,19.163679597002172,586.4424057084607,5.065930815039653,7.9972906095823895,True,True,
ComFlor 80 1.2,227.0,6.0,99094436.53940077,20.809831673274164,598.6748216106015,4.762502482289747,8.248118609957492,True,True,
ComFlor 80 1.2,208.0,7.0,71711356.92483753,15.059384954215881,552.1916411824668,11.245597636891311,5.367613479144493,True,True,
ComFlor 80 1.2,212.0,7.0,76947813.97509432,16.159040934769806,561.9775739041794,10.666043520151645,5.511512914866562,True,True,
Multideck 146 1.2,212.0,3.0,51140271.28435488,10.739456969714524,426.6375127420999,0.41102621592722277,28.07616226381716,True,True,
Multideck 146 1.2,217.0,3.0,55746981.55711913,11.706866126995017,438.8699286442405,0.38787159690024975,28.902041214199855,True,True,
Multideck 146 1.2,218.0,3.0,56703434.98366536,11.907721346569726,441.3164118246687,0.3834548379560759,29.068016252204753,True,True,
Multideck 146 1.2,226.0,3.0,64792026.996392004,13.60632566924232,460.8882772680938,0.35046738372245223,30.405258624697627,True,True,
Multideck 146 1.2,212.0,4.0,51140271.28435488,10.739456969714524,426.6375127420999,1.2990458182391238,15.792841273397153,True,True,
Multideck 146 1.2,231.0,4.0,70256201.87478296,14.753802393704424,473.12069317023435,1.0486141981451707,17.577804835593174,True,True,
Multideck 146 1.2,239.0,4.0,79687935.50098099,16.734466455206007,492.69255861365946,0.9627463600224075,18.344951269186172,True,True,
Multideck 146 1.2,240.0,4.0,80928583.02192935,16.995002434605162,495.1390417940876,0.9526945776541058,18.441475179504238,True,True,
Multideck 146 1.2,212.0,5.0,51140271.28435488,10.739456969714524,426.6375127420999,3.1714985796853608,10.107418414974179,True,True,
Multideck 146 1.2,278.0,5.0,139407483.28074428,29.275571488956302,588.1054026503567,1.6037534072990864,14.213587554472959,True,True,
Multideck 146 1.2,313.0,5.0,216189397.40013364,45.399773454028065,673.7323139653414,1.1847357582192841,16.537191545701848,True,True,
Multideck 146 1.2,315.0,5.0,221344834.36624476,46.4824152169114,678.6252803261976,1.1655452878948225,16.672776506971523,True,True,
Multideck 146 1.2,229.0,6.0,68031747.51553673,14.286666978262712,468.2277268093781,5.425490344804385,7.727749000533046,True,True,
Multideck 146 1.2,232.0,6.0,71388110.32832247,14.991503168947718,475.5671763506626,5.251452963907556,7.854757201905519,True,True,
Multideck 146 1.2,347.0,6.0,316620768.5831025,66.49036140245153,756.9127420998981,1.8845163585677254,13.11210895221773,True,True,
Multideck 146 1.2,349.0,6.0,323425621.83257014,67.91938058483971,761.8057084607543,1.8567921654183854,13.209636215839664,True,True,
Multideck 146 1.2,287.0,7.0,156849579.95241693,32.93841179000756,610.12375127421,5.680874884587105,7.552050629750079,True,True,
Multideck 146 1.2,289.0,7.0,160931982.10448608,33.79571624194208,615.0167176350662,5.581169516447644,7.619209203915902,True,True,
Multideck 146 1.2,292.0,7.0,167200238.4346621,35.11205007127904,622.3561671763507,5.436041427047578,7.7202457723872655,True,True,
Multideck 146 1.2,323.0,7.0,242867652.29908597,51.002206982808055,698.1971457696227,4.198450595446216,8.784721173503934,True,True,
Multideck 146 1.2,325.0,7.0,248478477.6972168,52.18048031641553,703.090112130479,4.1324048757022664,8.854643334240537,True,True,
Multideck 146 1.2,351.0,8.0,330336583.6520662,69.3706825669339,766.6986748216106,5.782511167878745,7.485387110272745,True,True,
Multideck 146 1.2,449.0,8.0,821545845.473292,172.52462754939134,1006.4540265035678,3.0521830659562807,10.303083413172011,True,True,
Multideck 146 1.5,212.0,3.0,51140271.28435488,10.739456969714524,431.53751274209986,0.41574691768900357,27.91630830985861,True,True,
Multideck 146 1.5,217.0,3.0,55746981.55711913,11.706866126995017,443.7699286442405,0.3922021985221984,28.74203362972372,True,True,
Multideck 146 1.5,218.0,3.0,56703434.98366536,11.907721346569726,446.2164118246687,0.38771239252608636,28.907974554497784,True,True,
Multideck 146 1.5,226.0,3.0,64792026.996392004,13.60632566924232,465.78827726809374,0.35419342811312154,30.244907157817984,True,True,
Multideck 146 1.5,212.0,4.0,51140271.28435488,10.739456969714524,431.53751274209986,1.3139655670170975,15.702923424295468,True,True,
Multideck 146 1.5,231.0,4.0,70256201.87478296,14.753802393704424,478.0206931702345,1.0594744493349504,17.487481228490914,True,True,
